text,label,source,language
You won't BELIEVE what the Transport Authority is hiding about currency circulation. Share before they delete this!!! Click here now!!! 13097 shares and counting!!!,0,synthetic,en
Officials from the Supreme Court confirmed on Tuesday that new guidance on the national election will take effect next month. Reported on day 13 by the newsroom desk.,1,synthetic,en
"URGENT WARNING: public transport fares will be BANNED by the National Statistics Office next week. Wake up, people!!! Click here now!!! 95276 shares and counting!!!",0,synthetic,en
"The Reserve Bank released its quarterly report on school reopening, showing a 18 percent change compared with the previous quarter. Reported on day 16 by the newsroom desk.",1,synthetic,en
EXPOSED: Transport Authority insiders admit currency circulation was staged all along - 33 percent of people have no idea! Click here now!!! 84579 shares and counting!!!,0,synthetic,en
"The Department of Education released its quarterly report on currency circulation, showing a 28 percent change compared with the previous quarter. Reported on day 14 by the newsroom desk.",1,synthetic,en
EXPOSED: Reserve Bank insiders admit school reopening was staged all along - 22 percent of people have no idea! Click here now!!! 24206 shares and counting!!!,0,synthetic,en
"Researchers at World Health Organization published a peer-reviewed study on currency circulation in a leading journal, based on a sample of 52 thousand participants. Reported on day 5 by the newsroom desk.",1,synthetic,en
"The Department of Education released its quarterly report on air quality levels, showing a 16 percent change compared with the previous quarter. Reported on day 10 by the newsroom desk.",1,synthetic,en
Officials from the Reserve Bank confirmed on Tuesday that new guidance on public transport fares will take effect next month. Reported on day 9 by the newsroom desk.,1,synthetic,en
The Supreme Court said in a statement that funding for school reopening programmes would increase by 93 percent this fiscal year. Reported on day 23 by the newsroom desk.,1,synthetic,en
BREAKING!!! Doctors are FURIOUS as this one weird trick about air quality levels destroys the Transport Authority forever! Click here now!!! 30831 shares and counting!!!,0,synthetic,en
Officials from the National Statistics Office confirmed on Tuesday that new guidance on currency circulation will take effect next month. Reported on day 15 by the newsroom desk.,1,synthetic,en
"Researchers at World Health Organization published a peer-reviewed study on school reopening in a leading journal, based on a sample of 20 thousand participants. Reported on day 1 by the newsroom desk.",1,synthetic,en
EXPOSED: Department of Education insiders admit the new tax rules was staged all along - 34 percent of people have no idea! Click here now!!! 11735 shares and counting!!!,0,synthetic,en
EXPOSED: Transport Authority insiders admit school reopening was staged all along - 90 percent of people have no idea! Click here now!!! 63402 shares and counting!!!,0,synthetic,en
SHOCKING: Secret Ministry of Health documents PROVE that currency circulation is a total hoax - the media will NEVER tell you this!!! Click here now!!! 89781 shares and counting!!!,0,synthetic,en
"URGENT WARNING: school reopening will be BANNED by the Supreme Court next week. Wake up, people!!! Click here now!!! 99994 shares and counting!!!",0,synthetic,en
"According to data published by the Supreme Court, air quality levels indicators remained broadly stable over the last 5 months. Reported on day 4 by the newsroom desk.",1,synthetic,en
The National Statistics Office said in a statement that funding for public transport fares programmes would increase by 55 percent this fiscal year. Reported on day 2 by the newsroom desk.,1,synthetic,en
Officials from the Ministry of Health confirmed on Tuesday that new guidance on the national election will take effect next month. Reported on day 3 by the newsroom desk.,1,synthetic,en
"According to data published by the Election Commission, vaccination coverage indicators remained broadly stable over the last 85 months. Reported on day 18 by the newsroom desk.",1,synthetic,en
BREAKING!!! Doctors are FURIOUS as this one weird trick about the new tax rules destroys the Supreme Court forever! Click here now!!! 92163 shares and counting!!!,0,synthetic,en
SHOCKING: Secret Reserve Bank documents PROVE that currency circulation is a total hoax - the media will NEVER tell you this!!! Click here now!!! 80276 shares and counting!!!,0,synthetic,en
"According to data published by the Reserve Bank, currency circulation indicators remained broadly stable over the last 69 months. Reported on day 28 by the newsroom desk.",1,synthetic,en
BREAKING!!! Doctors are FURIOUS as this one weird trick about currency circulation destroys the Ministry of Health forever! Click here now!!! 6273 shares and counting!!!,0,synthetic,en
"URGENT WARNING: school reopening will be BANNED by the World Health Organization next week. Wake up, people!!! Click here now!!! 10305 shares and counting!!!",0,synthetic,en
SHOCKING: Secret National Statistics Office documents PROVE that currency circulation is a total hoax - the media will NEVER tell you this!!! Click here now!!! 8592 shares and counting!!!,0,synthetic,en
"URGENT WARNING: public transport fares will be BANNED by the Supreme Court next week. Wake up, people!!! Click here now!!! 62605 shares and counting!!!",0,synthetic,en
"Researchers at Reserve Bank published a peer-reviewed study on public transport fares in a leading journal, based on a sample of 29 thousand participants. Reported on day 12 by the newsroom desk.",1,synthetic,en
SHOCKING: Secret World Health Organization documents PROVE that air quality levels is a total hoax - the media will NEVER tell you this!!! Click here now!!! 10171 shares and counting!!!,0,synthetic,en
"The World Health Organization released its quarterly report on currency circulation, showing a 12 percent change compared with the previous quarter. Reported on day 28 by the newsroom desk.",1,synthetic,en
The Transport Authority said in a statement that funding for inflation figures programmes would increase by 35 percent this fiscal year. Reported on day 5 by the newsroom desk.,1,synthetic,en
SHOCKING: Secret Ministry of Health documents PROVE that the national election is a total hoax - the media will NEVER tell you this!!! Click here now!!! 31495 shares and counting!!!,0,synthetic,en
SHOCKING: Secret Reserve Bank documents PROVE that inflation figures is a total hoax - the media will NEVER tell you this!!! Click here now!!! 40824 shares and counting!!!,0,synthetic,en
BREAKING!!! Doctors are FURIOUS as this one weird trick about the new tax rules destroys the Department of Education forever! Click here now!!! 53350 shares and counting!!!,0,synthetic,en
"URGENT WARNING: inflation figures will be BANNED by the Election Commission next week. Wake up, people!!! Click here now!!! 54545 shares and counting!!!",0,synthetic,en
EXPOSED: Transport Authority insiders admit vaccination coverage was staged all along - 51 percent of people have no idea! Click here now!!! 45057 shares and counting!!!,0,synthetic,en
The Ministry of Health said in a statement that funding for vaccination coverage programmes would increase by 46 percent this fiscal year. Reported on day 8 by the newsroom desk.,1,synthetic,en
"According to data published by the Supreme Court, vaccination coverage indicators remained broadly stable over the last 16 months. Reported on day 3 by the newsroom desk.",1,synthetic,en
You won't BELIEVE what the Department of Education is hiding about vaccination coverage. Share before they delete this!!! Click here now!!! 61217 shares and counting!!!,0,synthetic,en
You won't BELIEVE what the Department of Education is hiding about public transport fares. Share before they delete this!!! Click here now!!! 91096 shares and counting!!!,0,synthetic,en
You won't BELIEVE what the Department of Education is hiding about inflation figures. Share before they delete this!!! Click here now!!! 45118 shares and counting!!!,0,synthetic,en
EXPOSED: National Statistics Office insiders admit currency circulation was staged all along - 28 percent of people have no idea! Click here now!!! 88782 shares and counting!!!,0,synthetic,en
"The Ministry of Health released its quarterly report on inflation figures, showing a 41 percent change compared with the previous quarter. Reported on day 20 by the newsroom desk.",1,synthetic,en
"URGENT WARNING: air quality levels will be BANNED by the Supreme Court next week. Wake up, people!!! Click here now!!! 65789 shares and counting!!!",0,synthetic,en
"The Supreme Court released its quarterly report on vaccination coverage, showing a 86 percent change compared with the previous quarter. Reported on day 28 by the newsroom desk.",1,synthetic,en
SHOCKING: Secret World Health Organization documents PROVE that currency circulation is a total hoax - the media will NEVER tell you this!!! Click here now!!! 18172 shares and counting!!!,0,synthetic,en
You won't BELIEVE what the Election Commission is hiding about air quality levels. Share before they delete this!!! Click here now!!! 56057 shares and counting!!!,0,synthetic,en
"URGENT WARNING: inflation figures will be BANNED by the World Health Organization next week. Wake up, people!!! Click here now!!! 22174 shares and counting!!!",0,synthetic,en
SHOCKING: Secret Ministry of Health documents PROVE that vaccination coverage is a total hoax - the media will NEVER tell you this!!! Click here now!!! 27130 shares and counting!!!,0,synthetic,en
Officials from the Election Commission confirmed on Tuesday that new guidance on the national election will take effect next month. Reported on day 14 by the newsroom desk.,1,synthetic,en
SHOCKING: Secret Department of Education documents PROVE that public transport fares is a total hoax - the media will NEVER tell you this!!! Click here now!!! 9564 shares and counting!!!,0,synthetic,en
EXPOSED: World Health Organization insiders admit the new tax rules was staged all along - 59 percent of people have no idea! Click here now!!! 59028 shares and counting!!!,0,synthetic,en
The Transport Authority said in a statement that funding for currency circulation programmes would increase by 6 percent this fiscal year. Reported on day 8 by the newsroom desk.,1,synthetic,en
EXPOSED: Reserve Bank insiders admit the new tax rules was staged all along - 24 percent of people have no idea! Click here now!!! 97180 shares and counting!!!,0,synthetic,en
"The Supreme Court released its quarterly report on public transport fares, showing a 2 percent change compared with the previous quarter. Reported on day 12 by the newsroom desk.",1,synthetic,en
"The Supreme Court released its quarterly report on the national election, showing a 30 percent change compared with the previous quarter. Reported on day 27 by the newsroom desk.",1,synthetic,en
BREAKING!!! Doctors are FURIOUS as this one weird trick about currency circulation destroys the Election Commission forever! Click here now!!! 79697 shares and counting!!!,0,synthetic,en
"URGENT WARNING: school reopening will be BANNED by the Supreme Court next week. Wake up, people!!! Click here now!!! 78236 shares and counting!!!",0,synthetic,en
"Researchers at Supreme Court published a peer-reviewed study on air quality levels in a leading journal, based on a sample of 43 thousand participants. Reported on day 22 by the newsroom desk.",1,synthetic,en
"According to data published by the Department of Education, public transport fares indicators remained broadly stable over the last 61 months. Reported on day 14 by the newsroom desk.",1,synthetic,en
The Supreme Court said in a statement that funding for school reopening programmes would increase by 11 percent this fiscal year. Reported on day 19 by the newsroom desk.,1,synthetic,en
SHOCKING: Secret World Health Organization documents PROVE that air quality levels is a total hoax - the media will NEVER tell you this!!! Click here now!!! 98370 shares and counting!!!,0,synthetic,en
SHOCKING: Secret Ministry of Health documents PROVE that public transport fares is a total hoax - the media will NEVER tell you this!!! Click here now!!! 70615 shares and counting!!!,0,synthetic,en
Officials from the Transport Authority confirmed on Tuesday that new guidance on public transport fares will take effect next month. Reported on day 6 by the newsroom desk.,1,synthetic,en
SHOCKING: Secret Reserve Bank documents PROVE that inflation figures is a total hoax - the media will NEVER tell you this!!! Click here now!!! 63296 shares and counting!!!,0,synthetic,en
Officials from the Supreme Court confirmed on Tuesday that new guidance on school reopening will take effect next month. Reported on day 2 by the newsroom desk.,1,synthetic,en
You won't BELIEVE what the Transport Authority is hiding about air quality levels. Share before they delete this!!! Click here now!!! 2220 shares and counting!!!,0,synthetic,en
"Researchers at Ministry of Health published a peer-reviewed study on school reopening in a leading journal, based on a sample of 12 thousand participants. Reported on day 8 by the newsroom desk.",1,synthetic,en
"URGENT WARNING: air quality levels will be BANNED by the Department of Education next week. Wake up, people!!! Click here now!!! 12359 shares and counting!!!",0,synthetic,en
Officials from the Department of Education confirmed on Tuesday that new guidance on the new tax rules will take effect next month. Reported on day 21 by the newsroom desk.,1,synthetic,en
You won't BELIEVE what the Election Commission is hiding about inflation figures. Share before they delete this!!! Click here now!!! 96568 shares and counting!!!,0,synthetic,en
"Researchers at Transport Authority published a peer-reviewed study on public transport fares in a leading journal, based on a sample of 17 thousand participants. Reported on day 1 by the newsroom desk.",1,synthetic,en
Officials from the National Statistics Office confirmed on Tuesday that new guidance on school reopening will take effect next month. Reported on day 21 by the newsroom desk.,1,synthetic,en
Officials from the Supreme Court confirmed on Tuesday that new guidance on school reopening will take effect next month. Reported on day 17 by the newsroom desk.,1,synthetic,en
"URGENT WARNING: public transport fares will be BANNED by the National Statistics Office next week. Wake up, people!!! Click here now!!! 58954 shares and counting!!!",0,synthetic,en
BREAKING!!! Doctors are FURIOUS as this one weird trick about inflation figures destroys the Department of Education forever! Click here now!!! 58912 shares and counting!!!,0,synthetic,en
SHOCKING: Secret Reserve Bank documents PROVE that air quality levels is a total hoax - the media will NEVER tell you this!!! Click here now!!! 91921 shares and counting!!!,0,synthetic,en
"According to data published by the Ministry of Health, school reopening indicators remained broadly stable over the last 93 months. Reported on day 21 by the newsroom desk.",1,synthetic,en
"URGENT WARNING: vaccination coverage will be BANNED by the Transport Authority next week. Wake up, people!!! Click here now!!! 33662 shares and counting!!!",0,synthetic,en
"URGENT WARNING: public transport fares will be BANNED by the Supreme Court next week. Wake up, people!!! Click here now!!! 25727 shares and counting!!!",0,synthetic,en
The Reserve Bank said in a statement that funding for public transport fares programmes would increase by 18 percent this fiscal year. Reported on day 20 by the newsroom desk.,1,synthetic,en
EXPOSED: Department of Education insiders admit currency circulation was staged all along - 14 percent of people have no idea! Click here now!!! 26443 shares and counting!!!,0,synthetic,en
"Researchers at Supreme Court published a peer-reviewed study on currency circulation in a leading journal, based on a sample of 66 thousand participants. Reported on day 18 by the newsroom desk.",1,synthetic,en
EXPOSED: Transport Authority insiders admit the new tax rules was staged all along - 33 percent of people have no idea! Click here now!!! 20342 shares and counting!!!,0,synthetic,en
"The Election Commission released its quarterly report on the new tax rules, showing a 14 percent change compared with the previous quarter. Reported on day 12 by the newsroom desk.",1,synthetic,en
EXPOSED: Reserve Bank insiders admit currency circulation was staged all along - 53 percent of people have no idea! Click here now!!! 72819 shares and counting!!!,0,synthetic,en
The Ministry of Health said in a statement that funding for inflation figures programmes would increase by 96 percent this fiscal year. Reported on day 11 by the newsroom desk.,1,synthetic,en
"Researchers at Election Commission published a peer-reviewed study on inflation figures in a leading journal, based on a sample of 35 thousand participants. Reported on day 4 by the newsroom desk.",1,synthetic,en
You won't BELIEVE what the Transport Authority is hiding about inflation figures. Share before they delete this!!! Click here now!!! 71592 shares and counting!!!,0,synthetic,en
You won't BELIEVE what the Transport Authority is hiding about school reopening. Share before they delete this!!! Click here now!!! 59082 shares and counting!!!,0,synthetic,en
You won't BELIEVE what the Election Commission is hiding about school reopening. Share before they delete this!!! Click here now!!! 25931 shares and counting!!!,0,synthetic,en
The National Statistics Office said in a statement that funding for air quality levels programmes would increase by 72 percent this fiscal year. Reported on day 25 by the newsroom desk.,1,synthetic,en
EXPOSED: Reserve Bank insiders admit public transport fares was staged all along - 2 percent of people have no idea! Click here now!!! 95646 shares and counting!!!,0,synthetic,en
You won't BELIEVE what the National Statistics Office is hiding about school reopening. Share before they delete this!!! Click here now!!! 10116 shares and counting!!!,0,synthetic,en
You won't BELIEVE what the Reserve Bank is hiding about currency circulation. Share before they delete this!!! Click here now!!! 15208 shares and counting!!!,0,synthetic,en
"URGENT WARNING: inflation figures will be BANNED by the Transport Authority next week. Wake up, people!!! Click here now!!! 39890 shares and counting!!!",0,synthetic,en
"Researchers at Reserve Bank published a peer-reviewed study on the national election in a leading journal, based on a sample of 22 thousand participants. Reported on day 10 by the newsroom desk.",1,synthetic,en
"URGENT WARNING: the new tax rules will be BANNED by the Transport Authority next week. Wake up, people!!! Click here now!!! 25586 shares and counting!!!",0,synthetic,en
"Researchers at Supreme Court published a peer-reviewed study on currency circulation in a leading journal, based on a sample of 74 thousand participants. Reported on day 20 by the newsroom desk.",1,synthetic,en
"Researchers at Election Commission published a peer-reviewed study on inflation figures in a leading journal, based on a sample of 21 thousand participants. Reported on day 8 by the newsroom desk.",1,synthetic,en
"The Election Commission released its quarterly report on the new tax rules, showing a 19 percent change compared with the previous quarter. Reported on day 28 by the newsroom desk.",1,synthetic,en
"Researchers at Election Commission published a peer-reviewed study on inflation figures in a leading journal, based on a sample of 32 thousand participants. Reported on day 6 by the newsroom desk.",1,synthetic,en
EXPOSED: Election Commission insiders admit vaccination coverage was staged all along - 75 percent of people have no idea! Click here now!!! 38268 shares and counting!!!,0,synthetic,en
"Researchers at Reserve Bank published a peer-reviewed study on school reopening in a leading journal, based on a sample of 55 thousand participants. Reported on day 22 by the newsroom desk.",1,synthetic,en
BREAKING!!! Doctors are FURIOUS as this one weird trick about school reopening destroys the Supreme Court forever! Click here now!!! 88026 shares and counting!!!,0,synthetic,en
Officials from the Election Commission confirmed on Tuesday that new guidance on the national election will take effect next month. Reported on day 16 by the newsroom desk.,1,synthetic,en
BREAKING!!! Doctors are FURIOUS as this one weird trick about the new tax rules destroys the Election Commission forever! Click here now!!! 60429 shares and counting!!!,0,synthetic,en
You won't BELIEVE what the Election Commission is hiding about school reopening. Share before they delete this!!! Click here now!!! 88684 shares and counting!!!,0,synthetic,en
"According to data published by the Ministry of Health, air quality levels indicators remained broadly stable over the last 64 months. Reported on day 1 by the newsroom desk.",1,synthetic,en
"Researchers at World Health Organization published a peer-reviewed study on inflation figures in a leading journal, based on a sample of 67 thousand participants. Reported on day 16 by the newsroom desk.",1,synthetic,en
The Transport Authority said in a statement that funding for public transport fares programmes would increase by 45 percent this fiscal year. Reported on day 6 by the newsroom desk.,1,synthetic,en
"URGENT WARNING: currency circulation will be BANNED by the Transport Authority next week. Wake up, people!!! Click here now!!! 2504 shares and counting!!!",0,synthetic,en
The Department of Education said in a statement that funding for currency circulation programmes would increase by 55 percent this fiscal year. Reported on day 27 by the newsroom desk.,1,synthetic,en
You won't BELIEVE what the Supreme Court is hiding about air quality levels. Share before they delete this!!! Click here now!!! 93124 shares and counting!!!,0,synthetic,en
Officials from the Ministry of Health confirmed on Tuesday that new guidance on school reopening will take effect next month. Reported on day 11 by the newsroom desk.,1,synthetic,en
"According to data published by the National Statistics Office, public transport fares indicators remained broadly stable over the last 72 months. Reported on day 17 by the newsroom desk.",1,synthetic,en
You won't BELIEVE what the Ministry of Health is hiding about air quality levels. Share before they delete this!!! Click here now!!! 90399 shares and counting!!!,0,synthetic,en
The Transport Authority said in a statement that funding for the national election programmes would increase by 75 percent this fiscal year. Reported on day 21 by the newsroom desk.,1,synthetic,en
You won't BELIEVE what the National Statistics Office is hiding about the national election. Share before they delete this!!! Click here now!!! 89184 shares and counting!!!,0,synthetic,en
The Department of Education said in a statement that funding for currency circulation programmes would increase by 34 percent this fiscal year. Reported on day 8 by the newsroom desk.,1,synthetic,en
The Election Commission said in a statement that funding for the national election programmes would increase by 70 percent this fiscal year. Reported on day 7 by the newsroom desk.,1,synthetic,en
"According to data published by the World Health Organization, public transport fares indicators remained broadly stable over the last 30 months. Reported on day 9 by the newsroom desk.",1,synthetic,en
The National Statistics Office said in a statement that funding for currency circulation programmes would increase by 5 percent this fiscal year. Reported on day 3 by the newsroom desk.,1,synthetic,en
"According to data published by the Transport Authority, inflation figures indicators remained broadly stable over the last 56 months. Reported on day 6 by the newsroom desk.",1,synthetic,en
"The World Health Organization released its quarterly report on the national election, showing a 6 percent change compared with the previous quarter. Reported on day 28 by the newsroom desk.",1,synthetic,en
"URGENT WARNING: inflation figures will be BANNED by the World Health Organization next week. Wake up, people!!! Click here now!!! 73199 shares and counting!!!",0,synthetic,en
SHOCKING: Secret Election Commission documents PROVE that school reopening is a total hoax - the media will NEVER tell you this!!! Click here now!!! 54269 shares and counting!!!,0,synthetic,en
You won't BELIEVE what the Supreme Court is hiding about the new tax rules. Share before they delete this!!! Click here now!!! 96561 shares and counting!!!,0,synthetic,en
"According to data published by the Department of Education, vaccination coverage indicators remained broadly stable over the last 38 months. Reported on day 24 by the newsroom desk.",1,synthetic,en
The Department of Education said in a statement that funding for vaccination coverage programmes would increase by 2 percent this fiscal year. Reported on day 11 by the newsroom desk.,1,synthetic,en
SHOCKING: Secret Department of Education documents PROVE that school reopening is a total hoax - the media will NEVER tell you this!!! Click here now!!! 45020 shares and counting!!!,0,synthetic,en
SHOCKING: Secret Ministry of Health documents PROVE that currency circulation is a total hoax - the media will NEVER tell you this!!! Click here now!!! 30256 shares and counting!!!,0,synthetic,en
"The Transport Authority released its quarterly report on inflation figures, showing a 61 percent change compared with the previous quarter. Reported on day 22 by the newsroom desk.",1,synthetic,en
"The Supreme Court released its quarterly report on vaccination coverage, showing a 62 percent change compared with the previous quarter. Reported on day 8 by the newsroom desk.",1,synthetic,en
"The World Health Organization released its quarterly report on the national election, showing a 73 percent change compared with the previous quarter. Reported on day 25 by the newsroom desk.",1,synthetic,en
The World Health Organization said in a statement that funding for inflation figures programmes would increase by 94 percent this fiscal year. Reported on day 19 by the newsroom desk.,1,synthetic,en
